author,author_lat,lang,geo,erme_geo,birth_date,comment
"Абрамов, Кузьма Григориевич",,myv,с. Старый Найман_Большеберезниковский район,|Myv:MR_StNajmany;RU;54.266667;45.933333|,19141112_20080804,
"Агейкин, Григорий Петрович",,myv,с. Кочкурово_Кочкуровский район,|Myv:Kočk;RU;54.037297;45.433868|,19241201_,
"Аданкин, И??? ???",,mdf,,,,
"Адушкина, Нина Семёновна",,myv,с. Андреевка_Атяшевский район,|Myv:MR_AtjashAnrdeevka;RU;54.655280;45.993610|,19321229_20081009,
"Азрапкин, Юрий Никитович",,mdf,с. Колапа_Краснослободский район,|Mdf:Skolp;RU;54.358749;44.151289|,19391015_,
"Алёшкин, Андрей Васильевич",,mdf,с. Калиновка_Сорокинский район Тюменская область,|Mdf:Kalinovka;RU;56.841000;69.420833|,19350430_,
"Алтышкин, Виктор Леонидович",,myv,с. Малые Ремезенки_Чамзинский район,|Myv:MR_MREM;RU;54.333056;45.586389|,19340927_,
"Алявин, И??? ???",,mdf,,,,
"Алямкин, Николай Степанович",,mdf,,|Mdf:Sarga;RU;54.366667;44.483333|,19470920_20??,
"Аношкин, Василий Антонович",,myv,,,1901????_1944????,
"Аношкин, Григорий ???",,mdf,с. Ежовка_Ковылкинский район,|Mdf:Jožka;RU;54.084907;43.712426|,19??0??0_19700208,
"Антонов, Иван Захарович",,myv,с. Сигачи_Первомайский район,|Myv:CHR_Sigachi;RU;55.0675;47.611111|,19190118_19601101,
"Арапов, Василий Павлович",,myv,с. Морга_Дубёнский район,|Myv:MR_Morga;RU;54.403333;46.443333|,19270920_,
"Арапов, Александр Васильевич",,myv,с. Морга_Дубёнский район,|Myv:MR_Morga;RU;54.403333;46.443333|,19591101_201?,
"Арапов, Семён Яковлевич",,mdf,с. Мамолаева_Ковылкинский район,|Mdf:Mam;RU;54.295;43.964167|,18980??0_,
"Ардеев, Василий Иванович",,mdf,с. Мордовская Муромка_Голицынский район,|Mdf:PO_MordMuromka;RU;53.439722;44.610556|,19070115_19710823,(Виард, Василий Иванович)
"Атянин, Фёдор Семёнович",,mdf,с. Мордовская Муромка_Голицынский район,|Mdf:PO_MordMuromka;RU;53.439722;44.610556|,19100619_19750710,
"Аюшев, Тимофей Тимофеевич",,mdf,с. Лесное Ардашево_Темниковский район,|Mdf:_;RU;54.583437;43.131247|,19250917_19430922,
"Бардин, Пётр Яковлевич",,myv,с. Пакся Тавлав????,|Myv:MR_NapolʹnaâTavla;RU;54.095861;45.446133|,1934????_19890113,
"Батяйкин, Илья Иванович",,myv,с. Сырезеле_Атяшевский район,|Myv:MR_Syresi;RU;54.568341;46.4473|,19250729_,
"Бебан, Максим Афанасьевич",,mdf,с. Керетино_Ковылкинский район,|Mdf:Ker;RU;54.179856;43.748996|,19130210_19860416,
"Безбородов, Михаил Ильич",,mdf,с. Старые Пичингуши_Ельникоский район,|Mdf:MR_Pichingushi;RU;54.618056;43.865|,19070110_19350311,
"Беззубов, Василий Ильич",,myv,,,,
"Беззубова, Фёкла Игнатьева",,myv,с. Новые Турдаки_Кочкуровский район,|Myv:MR_NTurdaki;RU;53.901833;45.353000|,18800927_19660512,
"Биушкина, Мария Романовна",,myv,с. Морга_Дубёнский район,|Myv:MR_Morga;RU;54.403333;46.443333|,19251214_,
"Богомолов, Артём Абрамович",,myv,с. Вечкусова_Шатковский район Нижегородский область,|Myv:NO_Bechkusovo;RU;55.2617;44.452952|,19160323_,
"Бодрин, Владимир Васильевич",,mdf,с. Мордовский Пимбур_Зубово-Полянский район,|Mdf:MR_ZubuPimbur;RU;53.855278;43.144444|,18920??0_,
"Борисов, Андрей Григорьевич",,myv,с. Сабанчеево_Атяшевский район,|Myv:MR_Sabančeevo;RU;54.585;46.28|,19251126_19910319,
"Брыжинский, Андрей Иванович",,myv,с. Новые Турдаки_Кочкуровский район,|Myv:MR_NTurdaki;RU;53.901833;45.353000|,19480520_2???,
"Брыжинский, Василий Сергеевич",,myv,с. Новые Турдаки_Кочкуровский район,|Myv:MR_NTurdaki;RU;53.901833;45.353000|,19??????_,
"Брыжинский, Иван Сергеевич",,myv,с. Новые Турдаки_Кочкуровский район,|Myv:MR_NTurdaki;RU;53.901833;45.353000|,19200824_20000810,
"Брыжинский, Михаил Иванович",,myv,с. Новые Турдаки_Кочкуровский район,|Myv:MR_NTurdaki;RU;53.901833;45.353000|,19511006_202?,
"Бузакова, Раиса Николаевна",,myv,с. Лобаски_Атяшевский район,|Myv:MR_AtjashLambaske;RU;54.644167;45.730833|,19311213_,
"Бурнаев, Виктор ???",,myv,,,,
"Бычков, Михаил Николаевич",,mdf,с. Куликовка_Рузаевский район,|Mdf:MR_Kul;RU;54.068056;44.5525|,19211121_,(Рузаевекяй райононь Кулнковка велеса)
"Васькин, Иван Афанасьевич",,mdf,с. Новая Муравьевка_Рузаевский район,|Mdf:MR_NMuravjevka;RU;53.997778;44.705|,19??0??0_,
"Ведяшкин, Иван Михайлович",,myv,с. Кельвядни_Ардатовский район,|Myv:MR_ArdKelʹvedni;RU;54.700001;46.333332|,19230817_20090917,
"Вельматов, Павел Тихонович",,mdf,с. Вертелим_Старошайговский район,|Mdf:Vert;RU;54.476615;44.524683|,19??0??0_,(?анатолий павлович? Вертелим, StSajg)
"Вечканов, Серафим Емельянович",,myv,с. Какино_Гагинский район,|Myv:NO_Kakino;RU;55.182222;44.88|,19140806_19651023,
"Виард, Василий Иванович",,mdf,с. Мордовская Муромка_Голицынский район,|Mdf:PO_MordMuromka;RU;53.439722;44.610556|,19070115_19710823,(>Ардеев, Василий Иванович)
"Видманов, Н. ???",,myv,,,,
"Вильдяев, Михаил ???",,myv,,,,
"Винтина, Мария Николаевна",,myv,с. Ичалки_Ичалковский район,|Myv:MR_Ichalki;RU;54.687222;45.27|,1919????_2002????,
"Волков, Василий Афанасьевич",,mdf,с. Козловка_Атюрьевский район,|Mdf:MR_MordKozlovka;RU;54.462168;43.310617|,19180812_,
"Втулкин, Михаил Алексеевич",,myv,с. Большой Толкай_Похвистневский район,|Myv:BolʹšojTolkaj;RU;53.476333;51.951|,19290324_19911016,
"Гайни, Пётр Уварович",,myv,с. Салдоманово_Лукояновский район,|Myv:NO_Saldomanovo;RU;55.038333;44.497778|,19100906_19681017,(>Поздяев, Пётр Уварович)
"Ганчин, Анатолий Дмитриевич",,myv,с. Кульмино_Чамзинский район,|Myv:MR_ChamzKulʹmino;RU;54.43;45.6|,1953????_,
"Глухов, Пётр Семёнович",,myv,с. Малые Кармалы_Буинский уезд,|Myv:MKly;RU;55.159846;47.213313|,18971226_19790207,
"Голенков, Николай Борисович",,mdf,Булдыгино_Зубово-Полянский район,|Mdf:MR_Buldygino;RU;53.892778;42.874167|,19580817_,(Н. Грозов; Н. Булдыгин; Н. Борисов; Н. Лунданов; Н. Кужин)
