id,id_lat,language,geo,birth_year,comment
Алёшкин_Андрей,,mdf,,,
Бебан_Максим_Афанасьевич,,mdf,,1913_1986,
Девин_Илья_Максимович,,mdf,,1922_1998,
Кирдяшкин,,mdf,,,
Кишняков,,mdf,,,
Кудашкин,,mdf,,,
Кузнецов,,mdf,,,
Левчаев_Пётр,,mdf,,,
Макулов,,mdf,,,
Мишанина_Валентина,,mdf,,,
Мокшони,,mdf,,,
Носиков,,mdf,,,
Пинясов_Григорий,,mdf,,,
Пьянзин,,mdf,,,
Родькина_Полина,,mdf,,,
Сайгин,,mdf,,,
Торопкин,,mdf,,,
Терёшкина,,mdf,,,
Тяпаев_Анатолий,,mdf,,,
,,mdf,,,
,,mdf,,,
,,mdf,,,
,,mdf,,,
,,mdf,,,
,,mdf,,,
,,mdf,,,
,,mdf,,,
,,mdf,,,
,,mdf,,,
,,mdf,,,
,,mdf,,,
,,mdf,,,
