author,author_lat,lang,geo,erme_geo,birth_date,comment
"Брыжинский,  Андрей Иванович",,myv,,Myv:NTjaglovka,19480520_,
"Алёшкин,  Андрей Васильевич",,mdf,с. Калиновка_Сорокинский район Тюменская область,Mdf:Kalinovka,19350430_,
"Бебан, Максим Афанасьевич",,mdf,с. Керетино_Ковылкинский район,Mdf:Ker,19130210_1986,
"Девин, Илья Максимович",,mdf,Старая Теризморга_Старошайговский район,Mdf:Ter,19220720_1998,
"Кирдяшкин, Тимофей Андреевич",,mdf,др. Старое Мамингино_Рыбкинский/Ковылкинский район,Mdf:Mamangino,18880304_1972,
"Кишняков, Илья Прокофьевич",,mdf,с. Нагорное Алёксово/Паёво_Кадошкинский район,Mdf:Aleks,19220720_1982,
"Кудашкин, Иван Никитович",,mdf,Маскино_Ельниковский район,Mdf:Maskino,19360915_1998,
"Кузнецов, Юрий Федорович",,mdf,Пишля_Рузаевский район,Mdf:Pišlja,19360627_1981,
"Ларионов, Сергей Степанович",,mdf,с. Анаево Зубово-Полянский район,Mdf:An,190806_1991,
"Левчаев, Пётр Иванович",,mdf,с. Промзино_Зубово-Полянский район,Mdf:Promzino,19130301_1985,
"Макулов, Леонид Фёдорович",,mdf,с. Перхляй_Рузаевский район,Mdf:Perchl,19070717_1982,
"Мишанина, Валентина Ивановна",,mdf,с. Адашево_Инсарский/Кадошкинский район,Mdf:Adaš,19501125_,
"Мокшони, Алексей Ильич",,mdf,с. Лопатино_Торбеевский район,Mdf:Lopatino,18980221_1972,(Кочетков)
"Носиков, Иван Васильевич",,mdf,с. Адашево_Инсарский/Кадошкинский район,Mdf:Adaš,19590904_,
"Пинясов, Григорий Ильич",,mdf,с. Поляна_Зубово-Полянский район,Mdf:Poljana,19440911_2,
"Пинясов, Яков Максимович",,mdf,с. Поляна_Зубово-Полянский район,Mdf:Poljana,19131229_1984,
"Пьянзин, Георгий Абрамович",,mdf,с. Сарга_Старошайговский район,Mdf:Sarga,19110403_1962,
"Родькина, Полина Егоровна",,mdf,с. Старые Пичуры_Торбеевский район,Mdf:StPichury,19251007_,(Торбеевань районцта)
"Сайгин, Михаил Лукьянович",,mdf,с. Ежовка_Ковылкинский район,Mdf:Jožka,1913_,
"Терёшкина, Евдокия Яковлевна",,mdf,с. Самозлейка_Рыбкинского/Ковылкинский район,Mdf:Som,19450417_2000,
"Торопкин, Павел Кузьмич",,mdf,др. Клопинка_Атюрьевский район,Mdf:Klopinka,19200612_1999,
"Тяпаев, Анатолий Прохорович",,mdf,Нагорное Алёксово/Паёво_Кадошкинский район,Mdf:Aleks,19280125_,(г. Беднодемьяновска_Пензанская область)
"Учватов, Николай Иванович",,mdf,с. Левжа_Рузаевский район,Mdf:Levši,19350101_1990,
"Циликин, Николай Петрович",,mdf,с. Зайцево_Краснослободский район,Mdf:Zajcevo,19541008_,
"Бычков, Михаил Николаевич",,mdf,с. Куликовка_Рузаевский район,Mdf:Kul,19211121_,(Рузаевекяй райононь Кулнковка велеса)
"Федькин, Роман Романович",,mdf,,,1909_,(Атюрьевскяй райононь Коленова велеса)
"Кирюшкина, Раиса",,mdf,,,,
"Кожурин, Юрий",,mdf,,,,
"Кригин, Василий",,mdf,,,,
"Луньков, Василий",,mdf,,,,
"Липатов, Степан Ильич",,mdf,с. Самозлейка_Рыбкинского/Ковылкинский район,Mdf:Som,19381210_,
"Объедкин, Виктор Дмитриевич",,myv,с. Старие Турдаки_Кочкуровский район,,19301123_,
"Пешонова, Вера Леонтьевна",,mdf,,,,
"Родькин, Василий Нестерович",,mdf,,,19360114_,"(Краснай посёлкаса,  кона Сире Шайгавонь районца)"
"Таракина, Эльвира Н.",,mdf,,,,
"Тингаева, Лидия",,mdf,,,,
"Захаров, В.",,mdf,,,,
"Брыжинский, Михаил Иванович",,myv,,Myv:NTjaglovka,19511006_,
"Алямкин,  Николай Степанович",,mdf,,Mdf:Sarga,19470920_,
"Доронин, Александр Макарович",,myv,,Myv:Petrovka,19470107_,
